,input_text,label,label_idx
17,"Luật số : 106/2016/QH13 Hà Nội , ngày 06 tháng 4 năm 2016",O O O B-DOCID B-LOC I-LOC O B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[16, 16, 16, 3, 4, 12, 16, 1, 9, 9, 9, 9, 9]"
18,"LUẬT SỬA ĐỔI , BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT THUẾ GIÁ TRỊ GIA TĂNG , LUẬT THUẾ TIÊU",B-TIT B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT,"[6, 6, 14, 14, 14, 14, 14, 14, 14, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
19,THỤ ĐẶC BIỆT VÀ LUẬT QUẢN LÝ THUẾ,B-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT,"[6, 14, 14, 16, 6, 14, 14, 14]"
20,Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam,O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT,"[16, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
21,"Quốc hội ban hành Luật sửa đổi , bổ sung một số điều của Luật thuế giá trị gia tăng số 13/2008/QH12 đã được sửa đổi , bổ sung một số Điều theo Luật số 31/2013/QH13 , Luật thuế tiêu thụ đặc biệt số",B-DEP I-DEP O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O B-DOCID O O O O O O O O O O O O O B-DOCID O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O,"[2, 10, 16, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 16, 6, 14, 14, 14, 14, 14, 16, 3, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 3, 16, 6, 14, 14, 14, 14, 14, 16]"
22,"27/2008/QH12 đã được sửa đổi , bổ sung một số Điều theo Luật số 70/2014/QH13 , Luật quản lý thuế số 78/2006/QH11 đã được sửa đổi , bổ sung một số Điều theo Luật số 21/2012/QH13 và Luật số",B-DOCID O O O O O O O O O O O O O B-DOCID O O O O O O B-DOCID O O O O O O O O O O O O O B-DOCID O O O,"[3, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 3, 16, 16, 16, 16, 16, 16, 3, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 3, 16, 16, 16]"
23,71/2014/QH13 QUỐC HỘI,B-DOCID B-DEP I-DEP,"[3, 2, 10]"
24,CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM,B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC,"[4, 12, 12, 12, 12, 12, 12, 12]"
25,"Luật số : 67/2025/QH15 Hà Nội , ngày 14 tháng 6 năm 2025",O O O B-DOCID B-LOC I-LOC O B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[16, 16, 16, 3, 4, 12, 16, 1, 9, 9, 9, 9, 9]"
26,LUẬT THUẾ THU NHẬP DOANH NGHIỆP,B-TIT B-TIT I-TIT I-TIT I-TIT I-TIT,"[6, 6, 14, 14, 14, 14]"
27,Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam,O O B-TIT I-TIT O B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC,"[16, 16, 6, 14, 16, 4, 12, 12, 12, 12, 12, 12, 12]"
28,Quốc hội ban hành Luật Thuế thu nhập doanh nghiệp,B-DEP I-DEP O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT,"[2, 10, 16, 16, 6, 14, 14, 14, 14, 14]"
29,"QUỐC HỘI Luật số : 66/2025/QH15 Hà Nội , ngày 14 tháng 6 năm 2025",B-DEP I-DEP O O O B-DOCID B-LOC I-LOC O B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[2, 10, 16, 16, 16, 3, 4, 12, 16, 1, 9, 9, 9, 9, 9]"
30,LUẬT THUẾ TIÊU THỤ ĐẶC BIỆT,B-TIT B-TIT I-TIT I-TIT I-TIT I-TIT,"[6, 6, 14, 14, 14, 14]"
31,"Luật số : 107/2016/QH13 Hà Nội , ngày 06 tháng 4 năm 2016",O O O B-DOCID B-LOC I-LOC O B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[16, 16, 16, 3, 4, 12, 16, 1, 9, 9, 9, 9, 9]"
32,"LUẬT THUẾ XUẤT KHẨU , THUẾ NHẬP KHẨU",O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT,"[16, 6, 14, 14, 14, 14, 14, 14]"
33,"Quốc hội ban hành Luật thuế xuất khẩu , thuế nhập khẩu",B-DEP I-DEP O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT,"[2, 10, 16, 16, 6, 14, 14, 14, 14, 14, 14, 14]"
34,"CHÍNH PHỦ Số : 82/2025/NĐ-CP Hà Nội , ngày 02 tháng 4 năm 2025",B-DEP I-DEP O O B-DOCID B-LOC I-LOC O B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[2, 10, 16, 16, 3, 4, 12, 16, 1, 9, 9, 9, 9, 9]"
35,"NGHỊ ĐỊNH GIA HẠN THỜI HẠN NỘP THUẾ GIÁ TRỊ GIA TĂNG , THUẾ THU NHẬP DOANH NGHIỆP",B-TIT I-TIT B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT,"[6, 14, 6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
36,THUẾ THU NHẬP CÁ NHÂN VÀ TIỀN THUÊ ĐẤT TRONG NĂM 2025,B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT,"[6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
37,Căn cứ Luật Tổ chức Chính phủ ngày 18 tháng 02 năm 2025,O O B-TIT I-TIT I-TIT I-TIT I-TIT B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[16, 16, 6, 14, 14, 14, 14, 1, 9, 9, 9, 9, 9]"
38,"Căn cứ Luật Quản lý thuế ngày 13 tháng 6 năm 2019 ; Luật sửa đổi , bổ sung một số điều của Luật",O O B-TIT I-TIT I-TIT I-TIT B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT,"[16, 16, 6, 14, 14, 14, 1, 9, 9, 9, 9, 9, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 16, 6]"
39,"Chứng khoán , Luật Kế toán , Luật Kiểm toán độc lập , Luật Ngân sách nhà nước , Luật Quản lý , sử dụng tài sản công , Luật Quản lý thuế , Luật Thuế thu nhập cá nhân , Luật Dự trữ quốc gia , Luật Xử lý vi phạm hành chính ngày 29 tháng 11 năm 2024",B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT B-TIT I-TIT I-TIT B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 6, 14, 14, 1, 9, 9, 9, 9, 9]"
40,Theo đề nghị của Bộ trưởng Bộ Tài chính,O O O O B-PER I-PER B-DEP I-DEP I-DEP,"[16, 16, 16, 16, 5, 13, 2, 10, 10]"
41,"Chính phủ ban hành Nghị định gia hạn thời hạn nộp thuế giá trị gia tăng , thuế thu nhập doanh nghiệp thuế thu nhập cá nhân và tiền thuê đất trong năm 2025",B-TIT I-TIT O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT B-TIT I-TIT I-TIT I-TIT I-TIT B-TIT I-TIT I-TIT I-TIT O B-DAT I-DAT,"[6, 14, 16, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 16, 6, 14, 14, 14, 14, 6, 14, 14, 14, 14, 6, 14, 14, 14, 16, 1, 9]"
42,"CHÍNH PHỦ Số : 181/2025/NĐ -CP Hà Nội , ngày 01 tháng 7 năm 2025",B-DEP I-DEP O O B-DOCID I-DOCID B-DAT I-DAT O B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[2, 10, 16, 16, 3, 11, 1, 9, 16, 1, 9, 9, 9, 9, 9]"
43,NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH MỘT SỐ ĐIỀU CỦA LUẬT THUẾ GIÁ TRỊ GIA TĂNG,B-TIT I-TIT B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT,"[6, 14, 6, 14, 14, 14, 14, 14, 14, 14, 14, 16, 6, 14, 14, 14, 14, 14]"
44,Căn cứ Luật Tổ chức Chính phủ ngày 18 tháng 02 năm 2025,O O B-TIT I-TIT I-TIT I-TIT I-TIT B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[16, 16, 6, 14, 14, 14, 14, 1, 9, 9, 9, 9, 9]"
45,Căn cứ Luật Thuế giá trị gia tăng ngày 26 tháng 11 năm 2024,O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[16, 16, 6, 14, 14, 14, 14, 14, 1, 9, 9, 9, 9, 9]"
46,"Căn cứ Luật sửa đổi , bổ sung một số điều của Luật Đấu thầu , Luật Đầu tư theo phương thức đối tác công tư , Luật Hải quan , Luật Thuế giá trị gia tăng , Luật Thuế xuất khẩu , thuế nhập khẩu",O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT B-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT,"[16, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 16, 6, 14, 14, 16, 6, 14, 14, 14, 14, 14, 14, 6, 14, 14, 16, 6, 14, 14, 16, 6, 14, 14, 14, 14, 14, 16, 6, 14, 14, 14, 14, 14, 14, 14]"
47,"Luật Đầu tư , Luật Đầu tư công , Luật Quản lý , sử dụng tài sản công ngày 25 tháng 6 năm 2025",B-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[6, 14, 14, 16, 6, 14, 14, 14, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 1, 9, 9, 9, 9, 9]"
48,Theo đề nghị của Bộ trưởng Bộ Tài chính,O O O O B-PER I-PER B-DEP I-DEP I-DEP,"[16, 16, 16, 16, 5, 13, 2, 10, 10]"
49,Chính phủ ban hành Nghị định quy định chi tiết thi hành một số điều của Luật Thuế giá trị gia,B-DEP I-DEP O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT,"[2, 10, 16, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 16, 6, 14, 14, 14, 14]"
50,tăng CHÍNH PHỦ,B-TIT B-DEP I-DEP,"[6, 2, 10]"
51,-CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM,B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC,"[4, 12, 12, 12, 12, 12, 12, 12]"
52,"Số : 199/2025/NĐ-CP Hà Nội , ngày 08 tháng 7 năm 2025",O O B-DOCID B-LOC I-LOC O B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[16, 16, 3, 4, 12, 16, 1, 9, 9, 9, 9, 9]"
53,"NGHỊ ĐỊNH SỬA ĐỔI , BỔ SUNG NGHỊ ĐỊNH SỐ 26/2023/NĐ-CP NGÀY 31 THÁNG 5 NĂM 2023 CỦA",B-TIT I-TIT B-TIT I-TIT I-TIT I-TIT I-TIT O O O B-DOCID B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT O,"[6, 14, 6, 14, 14, 14, 14, 16, 16, 16, 3, 1, 9, 9, 9, 9, 9, 16]"
54,"CHÍNH PHỦ VỀ BIỂU THUẾ XUẤT KHẨU , BIỂU THUẾ NHẬP KHẨU ƯU ĐÃI , DANH MỤC",B-DEP I-DEP B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT,"[2, 10, 6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
55,"HÀNG HÓA VÀ MỨC THUẾ TUYỆT ĐỐI , THUẾ HỖN HỢP , THUẾ NHẬP KHẨU NGOÀI HẠN",B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT,"[6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 16, 6, 14, 14, 14, 14]"
56,NGẠCH THUẾ QUAN Căn cứ Luật Tổ chức Chính phủ ngày 18 tháng 02 năm 2025,B-TIT I-TIT I-TIT O O B-TIT I-TIT I-TIT I-TIT I-TIT B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[6, 14, 14, 16, 16, 6, 14, 14, 14, 14, 1, 9, 9, 9, 9, 9]"
57,"Căn cứ Luật Thuế xuất khẩu , thuế nhập khẩu ngày 06 tháng 4 năm 2016",O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[16, 16, 6, 14, 14, 14, 14, 14, 14, 14, 1, 9, 9, 9, 9, 9]"
58,"Căn cứ Luật Quản lý thuế ngày 13 tháng 6 năm 2019 ; Luật sửa đổi , bổ sung một số điều của Luật",O O B-TIT I-TIT I-TIT I-TIT B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT,"[16, 16, 6, 14, 14, 14, 1, 9, 9, 9, 9, 9, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 16, 6]"
59,"Chứng khoán , Luật Kế toán , Luật Kiểm toán độc lập , Luật Ngân sách nhà nước , Luật Quản lý , sử dụng tài sản công , Luật Quản lý thuế , Luật Thuế thu nhập cá nhân , Luật Dự trữ quốc gia , Luật Xử lý vi phạm hành chính ngày 29 tháng 11 năm 2024",B-TIT I-TIT O B-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT B-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT B-TIT I-TIT I-TIT I-TIT B-TIT I-TIT I-TIT B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[6, 14, 16, 6, 14, 14, 16, 6, 14, 14, 14, 14, 16, 6, 14, 14, 14, 14, 16, 6, 14, 14, 14, 14, 14, 6, 14, 14, 16, 6, 14, 14, 14, 16, 6, 14, 14, 14, 14, 14, 16, 6, 14, 14, 14, 14, 14, 6, 14, 14, 14, 6, 14, 14, 1, 9, 9, 9, 9, 9]"
60,Căn cứ Luật Hải quan ngày 23 tháng 6 năm 2014,O O B-TIT I-TIT I-TIT B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[16, 16, 6, 14, 14, 1, 9, 9, 9, 9, 9]"
61,Căn cứ Nghị quyết số 71/2006/QH11 ngày 29 tháng 11 năm 2006 của Quốc hội phê chuẩn Nghị định thư gia nhập Hiệp định thành lập Tổ chức thương mại thế giới của nước Cộng hòa xã hội chủ nghĩa,O O B-TIT I-TIT O B-DOCID B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT O B-DEP I-DEP O O B-TIT I-TIT B-TIT I-TIT I-TIT B-TIT I-TIT I-TIT I-TIT B-DEP I-DEP I-DEP I-DEP I-DEP I-DEP O B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC,"[16, 16, 6, 14, 16, 3, 1, 9, 9, 9, 9, 9, 16, 2, 10, 16, 16, 6, 14, 6, 14, 14, 6, 14, 14, 14, 2, 10, 10, 10, 10, 10, 16, 4, 12, 12, 12, 12, 12, 12]"
62,Việt Nam Theo đề nghị của Bộ trưởng Bộ Tài chính,B-LOC I-LOC O O O O B-PER I-PER B-DEP I-DEP I-DEP,"[4, 12, 16, 16, 16, 16, 5, 13, 2, 10, 10]"
63,"Chính phủ ban hành Nghị định sửa đổi , bổ sung Nghị định số 26/2023/NĐ-CP ngày 31 tháng 5 năm 2023 của Chính phủ về Biểu thuế xuất khẩu , Biểu thuế nhập khẩuưu đãi , Danh mục hàng hóa và mức thuế tuyệt đối , thuế hỗn hợp , thuế nhập khẩu ngoài hạn ngạch thuế quan ( sau đây gọi là Nghị định số",B-DEP I-DEP O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT B-TIT I-TIT O B-DOCID B-DAT I-DAT I-DAT I-DAT I-DAT B-DAT O B-DEP I-DEP O B-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O O O O O B-TIT I-TIT O,"[2, 10, 16, 16, 6, 14, 14, 14, 14, 14, 14, 6, 14, 16, 3, 1, 9, 9, 9, 9, 1, 16, 2, 10, 16, 6, 14, 14, 14, 16, 6, 14, 14, 14, 14, 16, 6, 14, 14, 14, 14, 14, 6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 16, 16, 16, 16, 16, 6, 14, 16]"
64,26/2023/NĐ-CP ) CHÍNH PH Ủ,B-DOCID O B-DEP I-DEP I-DEP,"[3, 16, 2, 10, 10]"
65,CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM,B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC,"[4, 12, 12, 12, 12, 12, 12, 12]"
66,"Số : 83/NQ -CP Hà Nội , ngày 08 tháng 6 năm 2024",O O B-DOCID I-DOCID B-LOC I-LOC O B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[16, 16, 3, 11, 4, 12, 16, 1, 9, 9, 9, 9, 9]"
67,NGHỊ QUYẾT VỀ DỰ ÁN NGH Ị QUY ẾT CỦA QU ỐC HỘI VỀ GIẢM THU Ế GIÁ TR Ị GIA TĂNG,B-TIT I-TIT B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT,"[6, 14, 6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
68,"CHÍNH PH Ủ Căn cứ Luật Tổ chức Chính phủ ngày 19 tháng 6 năm 2015 ; Luật sửa đổi , bổ sung một số điều của Luật Tổ chức Chính phủ và Luật Tổ chức Chính quyền địa phương ngày 22",B-DEP I-DEP I-DEP O O B-TIT I-TIT I-TIT I-TIT I-TIT B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT B-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT B-DAT I-DAT,"[2, 10, 10, 16, 16, 6, 14, 14, 14, 14, 1, 9, 9, 9, 9, 9, 16, 6, 14, 14, 14, 14, 14, 14, 6, 14, 16, 6, 14, 14, 14, 14, 16, 6, 14, 14, 14, 14, 14, 14, 1, 9]"
69,"tháng 11 năm 2019 Căn cứ Luật ban hành văn bản quy phạm pháp luật ngày 22 tháng 6 năm 2015 ; Luật sửa đổi , bổ sung một số điều của Luật ban hành văn bản quy phạm pháp luật ngày 18",B-DAT I-DAT I-DAT I-DAT O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT O B-TIT B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT B-DAT I-DAT,"[1, 9, 9, 9, 16, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 1, 9, 9, 9, 9, 9, 16, 6, 6, 14, 14, 14, 14, 14, 14, 14, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 1, 9]"
70,tháng 6 năm 2020 Căn cứ Nghị định số 39/2022/NĐ -CP ngày 18 tháng 6 năm 2022 của Chính phủ ban hành Quy chế làm việc của Chính phủ,B-DAT I-DAT I-DAT I-DAT O O B-TIT I-TIT O B-DOCID I-DOCID B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT O B-DEP I-DEP O O B-TIT I-TIT I-TIT I-TIT O B-DEP I-DEP,"[1, 9, 9, 9, 16, 16, 6, 14, 16, 3, 11, 1, 9, 9, 9, 9, 9, 16, 2, 10, 16, 16, 6, 14, 14, 14, 16, 2, 10]"
71,Xét đề nghị của Bộ trưởng Bộ Tài chính tại Tờ trình số 127/TTr -BTC ngày 06 tháng 6,O O O O B-PER I-PER B-DEP I-DEP I-DEP O B-TIT I-TIT O B-DOCID I-DOCID B-DAT I-DAT I-DAT I-DAT,"[16, 16, 16, 16, 5, 13, 2, 10, 10, 16, 6, 14, 16, 3, 11, 1, 9, 9, 9]"
